#,Player Name, Player Salary in $ ,
129,Anthony Tolliver,"$8,000,000 ",
129,Garrett Temple,"$8,000,000 ",
129,Kevin Garnett,"$8,000,000 ",
129,Jeff Teague,"$8,000,000 ",
129,Tyler Zeller,"$8,000,000 ",
135,Channing Frye,"$7,806,971 ",
136,Trevor Ariza,"$7,800,000 ",
137,Jose Calderon,"$7,708,427 ",
138,Al-Farouq Aminu,"$7,680,965 ",
139,Cole Aldrich,"$7,643,979 ",
140,Corey Brewer,"$7,612,172 ",
141,Markieff Morris,"$7,400,000 ",
141,Festus Ezeli,"$7,400,000 ",
143,JJ Redick,"$7,377,500 ",
144,Cory Joseph,"$7,315,000 ",
145,DJ Augustin,"$7,250,000 ",
146,Boris Diaw,"$7,000,000 ",
146,Rodney Stuckey,"$7,000,000 ",
146,Louis Williams,"$7,000,000 ",
146,Jeremy Lamb,"$7,000,000 ",
150,Sergio Rodriguez,"$6,800,000 ",
151,Carl Landry,"$6,750,000 ",
152,Ed Davis,"$6,666,667 ",
153,Isaiah Thomas,"$6,587,131 ",
154,Victor Oladipo,"$6,552,960 ",
155,Jodie Meeks,"$6,540,000 ",
156,Matt Barnes,"$6,508,351 ",
157,Aron Baynes,"$6,500,000 ",
158,Marco Belinelli,"$6,333,333 ",
159,Jae Crowder,"$6,286,408 ",
160,Lance Thomas,"$6,191,000 ",
160,Tarik Black,"$6,191,000 ",
162,Andrew Nicholson,"$6,088,993 ",
163,Patrick Patterson,"$6,050,000 ",
164,Andrew Wiggins,"$6,006,600 ",
165,Wayne Ellington,"$6,000,000 ",
165,Patrick Beverley,"$6,000,000 ",
165,Ishmael Smith,"$6,000,000 ",
165,Ramon Sessions,"$6,000,000 ",
169,Alex Abrines,"$5,994,764 ",
170,Karl-Anthony Towns,"$5,960,160 ",
171,Ben Simmons,"$5,903,160 ",
172,Otto Porter,"$5,893,981 ",
173,Spencer Hawes,"$5,782,450 ",
173,Josh McRoberts,"$5,782,450 ",
173,Shaun Livingston,"$5,782,450 ",
173,Nikola Mirotic,"$5,782,450 ",
177,Brandan Wright,"$5,709,880 ",
178,Tim Duncan,"$5,643,750 ",
179,Jared Sullinger,"$5,628,000 ",
179,Tyler Johnson,"$5,628,000 ",
179,Wesley Johnson,"$5,628,000 ",
179,Boban Marjanovic,"$5,628,000 ",
183,Brandon Jennings,"$5,587,318 ",
184,Nick Young,"$5,443,918 ",
185,Jabari Parker,"$5,374,320 ",
186,Lance Stephenson,"$5,371,672 ",
187,D'Angelo Russell,"$5,332,800 ",
