,Unnamed: 0,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
0,24304,2017.0,A.J. Hammons,C,24.0,DAL,22.0,163.0,8.4,0.472,0.238,0.476,5.4,20.9,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0.0,-0.001,-7.5,1.9,-5.6,-0.1,17.0,42.0,0.405,5.0,10.0,0.5,12.0,32.0,0.375,0.464,9.0,20.0,0.45,8.0,28.0,36.0,4.0,1.0,13.0,10.0,21.0,48.0,
1,24165,2017.0,Aaron Brooks,PG,32.0,IND,65.0,894.0,9.5,0.507,0.4270000000000001,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.1,-2.6,-4.6,-0.6,121.0,300.0,0.403,48.0,128.0,0.375,73.0,172.0,0.424,0.483,32.0,40.0,0.8,18.0,51.0,69.0,125.0,25.0,9.0,66.0,93.0,322.0,"$2,116,955 "
2,24289,2017.0,Aaron Gordon,SF,21.0,ORL,80.0,2298.0,14.4,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,0.076,-0.2,-0.4,-0.7,0.8,393.0,865.0,0.454,77.0,267.0,0.28800000000000003,316.0,598.0,0.528,0.499,156.0,217.0,0.7190000000000001,116.0,289.0,405.0,150.0,64.0,40.0,89.0,172.0,1019.0,"$5,504,419 "
3,24315,2017.0,Aaron Harrison,SG,22.0,CHO,5.0,17.0,-2.2,0.102,0.5,0.5,0.0,19.5,9.7,22.6,0.0,0.0,0.0,12.9,-0.1,0.0,-0.1,-0.146,-9.6,-2.1,-11.6,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,"$174,570 "
4,24523,2017.0,Adreian Payne,PF,25.0,MIN,18.0,135.0,14.4,0.505,0.278,0.35200000000000004,7.7,21.0,14.3,8.0,3.0,4.4,11.4,23.1,0.0,0.2,0.2,0.086,-2.2,0.7,-1.5,0.0,23.0,54.0,0.426,3.0,15.0,0.2,20.0,39.0,0.513,0.454,14.0,19.0,0.737,9.0,24.0,33.0,7.0,8.0,7.0,8.0,32.0,63.0,"$77,250 "
5,24343,2017.0,Al Horford,C,30.0,BOS,68.0,2193.0,17.7,0.5529999999999999,0.302,0.16899999999999998,4.9,18.6,11.8,24.4,1.2,3.3,11.9,19.8,3.6,2.7,6.3,0.13699999999999998,1.0,2.1,3.1,2.8,379.0,801.0,0.473,86.0,242.0,0.355,293.0,559.0,0.524,0.527,108.0,135.0,0.8,95.0,369.0,464.0,337.0,52.0,87.0,116.0,138.0,952.0,"$27,734,405 "
6,24366,2017.0,Al Jefferson,C,32.0,IND,66.0,931.0,18.9,0.526,0.002,0.18,9.2,24.2,16.8,11.0,1.0,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.3,235.0,471.0,0.499,0.0,1.0,0.0,235.0,470.0,0.5,0.499,65.0,85.0,0.765,75.0,203.0,278.0,57.0,19.0,16.0,33.0,125.0,535.0,"$9,769,821 "
7,24107,2017.0,Al-Farouq Aminu,SF,26.0,POR,61.0,1773.0,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,0.051,-2.3,1.2,-1.1,0.4,183.0,466.0,0.393,70.0,212.0,0.33,113.0,254.0,0.445,0.468,96.0,136.0,0.706,77.0,374.0,451.0,99.0,60.0,44.0,94.0,102.0,532.0,"$7,319,035 "
8,24109,2017.0,Alan Anderson,SF,34.0,LAC,30.0,308.0,5.0,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,0.02,-2.6,-2.3,-4.9,-0.2,30.0,80.0,0.375,14.0,44.0,0.318,16.0,36.0,0.444,0.463,12.0,16.0,0.75,3.0,21.0,24.0,11.0,3.0,0.0,7.0,35.0,86.0,
9,24660,2017.0,Alan Williams,C,24.0,PHO,47.0,708.0,19.5,0.547,0.004,0.419,14.0,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,0.142,-1.8,0.2,-1.7,0.1,138.0,267.0,0.517,0.0,1.0,0.0,138.0,266.0,0.519,0.517,70.0,112.0,0.625,94.0,198.0,292.0,23.0,27.0,32.0,37.0,125.0,346.0,"$6,000,000 "
