,Unnamed: 0,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
10,24174,2017.0,Alec Burks,SG,25.0,UTA,42.0,653.0,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11.0,22.7,-0.1,0.9,0.8,0.056,-3.3,-0.9,-4.2,-0.4,99.0,248.0,0.399,25.0,76.0,0.329,74.0,172.0,0.43,0.45,60.0,78.0,0.769,17.0,103.0,120.0,30.0,18.0,5.0,35.0,50.0,283.0,"$10,845,506 "
11,24096,2017.0,Alex Abrines,SG,23.0,OKC,68.0,1055.0,10.1,0.56,0.7240000000000001,0.14400000000000002,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.095,-0.3,-2.2,-2.5,-0.1,134.0,341.0,0.393,94.0,247.0,0.381,40.0,94.0,0.426,0.531,44.0,49.0,0.898,18.0,68.0,86.0,40.0,37.0,8.0,33.0,114.0,406.0,"$5,725,000 "
12,24413,2017.0,Alex Len,C,23.0,PHO,77.0,1560.0,15.0,0.5529999999999999,0.026,0.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,1.2,1.7,3.0,0.091,-3.0,1.2,-1.8,0.1,230.0,463.0,0.4970000000000001,3.0,12.0,0.25,227.0,451.0,0.503,0.5,150.0,208.0,0.721,156.0,354.0,510.0,44.0,37.0,98.0,102.0,242.0,613.0,"$4,187,599 "
13,24543,2017.0,Alex Poythress,PF,23.0,PHI,6.0,157.0,13.2,0.5479999999999999,0.35200000000000004,0.185,7.7,12.7,10.2,5.1,0.9,1.0,4.9,16.9,0.2,0.1,0.3,0.099,-0.6,-1.9,-2.5,0.0,25.0,54.0,0.463,6.0,19.0,0.316,19.0,35.0,0.5429999999999999,0.519,8.0,10.0,0.8,11.0,18.0,29.0,5.0,3.0,2.0,3.0,14.0,64.0,"$778,668 "
14,24102,2017.0,Alexis Ajinca,C,28.0,NOP,39.0,584.0,12.9,0.529,0.022,0.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,0.08,-5.1,1.0,-4.1,-0.3,89.0,178.0,0.5,0.0,4.0,0.0,89.0,174.0,0.511,0.5,29.0,40.0,0.725,46.0,131.0,177.0,12.0,20.0,22.0,31.0,77.0,207.0,"$4,961,798 "
15,24210,2017.0,Allen Crabbe,SG,24.0,POR,79.0,2254.0,11.6,0.602,0.467,0.192,0.9,10.2,5.5,6.1,1.2,0.7,8.1,14.9,3.1,1.0,4.1,0.08800000000000001,0.3,-1.4,-1.1,0.5,303.0,647.0,0.468,134.0,302.0,0.444,169.0,345.0,0.49,0.5720000000000001,105.0,124.0,0.847,19.0,206.0,225.0,93.0,54.0,20.0,62.0,171.0,845.0,"$18,500,000 "
16,24277,2017.0,Alonzo Gee,SF,29.0,DEN,13.0,89.0,3.1,0.306,0.214,0.643,5.0,13.5,9.3,8.2,2.7,0.9,18.2,10.5,-0.1,0.1,-0.1,-0.032,-5.6,1.0,-4.6,-0.1,3.0,14.0,0.214,0.0,3.0,0.0,3.0,11.0,0.273,0.214,5.0,9.0,0.556,4.0,11.0,15.0,6.0,5.0,1.0,4.0,14.0,11.0,
17,24373,2017.0,Amir Johnson,PF,29.0,BOS,80.0,1608.0,15.0,0.628,0.17800000000000002,0.27,8.2,17.0,12.6,13.0,1.6,3.2,15.7,13.6,2.9,2.1,5.0,0.149,-0.2,2.4,2.2,1.7,213.0,370.0,0.5760000000000001,27.0,66.0,0.409,186.0,304.0,0.612,0.612,67.0,100.0,0.67,117.0,248.0,365.0,140.0,52.0,62.0,77.0,211.0,520.0,"$11,000,000 "
18,24637,2017.0,Anderson Varejao,C,34.0,GSW,14.0,92.0,9.4,0.478,0.0,0.7859999999999999,15.3,16.8,16.1,13.0,1.6,2.6,29.8,12.6,0.0,0.1,0.2,0.097,-3.2,2.5,-0.6,0.0,5.0,14.0,0.35700000000000004,0.0,0.0,0.0,5.0,14.0,0.35700000000000004,0.35700000000000004,8.0,11.0,0.727,12.0,15.0,27.0,10.0,3.0,3.0,8.0,16.0,18.0,
19,24233,2017.0,Andre Drummond,C,23.0,DET,81.0,2409.0,20.9,0.518,0.008,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.8,1.7,483.0,911.0,0.53,2.0,7.0,0.28600000000000003,481.0,904.0,0.532,0.531,137.0,355.0,0.386,345.0,771.0,1116.0,89.0,124.0,89.0,152.0,237.0,1105.0,"$23,775,506 "
20,24353,2017.0,Andre Iguodala,SF,33.0,GSW,76.0,1998.0,14.4,0.624,0.4270000000000001,0.246,3.0,13.1,8.3,16.7,1.8,1.5,11.2,11.2,4.1,2.9,6.9,0.16699999999999998,1.3,1.7,3.0,2.5,219.0,415.0,0.528,64.0,177.0,0.362,155.0,238.0,0.6509999999999999,0.605,72.0,102.0,0.706,51.0,253.0,304.0,262.0,76.0,39.0,58.0,97.0,574.0,"$14,814,815 "
21,24556,2017.0,Andre Roberson,SF,25.0,OKC,79.0,2376.0,9.6,0.51,0.397,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,1.1,3.1,4.2,0.085,-2.1,2.1,0.0,1.2,215.0,463.0,0.464,45.0,184.0,0.245,170.0,279.0,0.609,0.513,47.0,111.0,0.423,98.0,304.0,402.0,79.0,94.0,79.0,51.0,204.0,522.0,"$9,259,260 "
22,24154,2017.0,Andrew Bogut,C,32.0,TOT,27.0,583.0,9.3,0.46,0.012,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1.0,0.7,0.055,-5.6,5.3,-0.3,0.3,38.0,81.0,0.469,0.0,1.0,0.0,38.0,80.0,0.475,0.469,3.0,11.0,0.273,56.0,162.0,218.0,49.0,13.0,25.0,43.0,86.0,79.0,"$1,078,810 "
23,24316,2017.0,Andrew Harrison,PG,22.0,MEM,72.0,1474.0,8.7,0.477,0.433,0.539,1.7,9.0,5.3,20.0,1.9,1.3,16.0,16.4,0.0,1.5,1.6,0.051,-2.4,0.0,-2.5,-0.2,117.0,360.0,0.325,43.0,156.0,0.276,74.0,204.0,0.363,0.385,148.0,194.0,0.763,23.0,113.0,136.0,198.0,54.0,20.0,85.0,194.0,425.0,"$1,312,611 "
24,24490,2017.0,Andrew Nicholson,PF,27.0,TOT,38.0,342.0,5.9,0.4270000000000001,0.243,0.126,4.9,14.6,9.8,4.1,2.3,1.5,12.7,17.0,-0.5,0.4,-0.1,-0.019,-5.9,-0.5,-6.4,-0.4,43.0,111.0,0.387,5.0,27.0,0.185,38.0,84.0,0.452,0.41,9.0,14.0,0.643,15.0,46.0,61.0,10.0,16.0,6.0,17.0,55.0,100.0,"$2,844,429 "
25,24658,2017.0,Andrew Wiggins,SF,21.0,MIN,82.0,3048.0,16.5,0.534,0.184,0.345,3.9,8.8,6.3,10.6,1.4,0.8,9.4,29.0,3.3,0.9,4.2,0.066,0.2,-2.9,-2.7,-0.6,709.0,1570.0,0.452,103.0,289.0,0.35600000000000004,606.0,1281.0,0.473,0.484,412.0,542.0,0.76,103.0,226.0,329.0,189.0,82.0,30.0,187.0,183.0,1933.0,"$7,574,322 "
26,24143,2017.0,Anthony Bennett,PF,23.0,BRK,23.0,264.0,14.7,0.5329999999999999,0.522,0.391,10.1,21.0,15.6,7.1,0.9,0.9,10.0,19.4,0.3,0.2,0.5,0.09,-0.8,-2.2,-3.0,-0.1,38.0,92.0,0.413,13.0,48.0,0.271,25.0,44.0,0.568,0.484,26.0,36.0,0.722,25.0,53.0,78.0,12.0,5.0,3.0,12.0,18.0,115.0,
27,24166,2017.0,Anthony Brown,SF,24.0,TOT,11.0,159.0,7.2,0.43,0.54,0.0,5.3,16.9,11.0,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0.0,0.002,-3.8,-0.2,-4.0,-0.1,18.0,50.0,0.36,7.0,27.0,0.259,11.0,23.0,0.478,0.43,0.0,0.0,0.0,8.0,25.0,33.0,8.0,5.0,1.0,6.0,15.0,43.0,"$77,250 "
28,24218,2017.0,Anthony Davis,C,23.0,NOP,75.0,2708.0,27.5,0.579,0.08800000000000001,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11.0,0.196,1.4,2.3,3.7,3.9,770.0,1527.0,0.504,40.0,134.0,0.299,730.0,1393.0,0.524,0.517,519.0,647.0,0.802,174.0,712.0,886.0,157.0,94.0,167.0,181.0,168.0,2099.0,"$23,775,506 "
29,24473,2017.0,Anthony Morrow,SG,31.0,TOT,49.0,714.0,10.0,0.505,0.528,0.147,1.9,2.9,2.4,5.2,1.7,0.2,2.2,16.4,0.7,0.5,1.2,0.083,-1.2,-3.1,-4.3,-0.4,98.0,252.0,0.389,41.0,133.0,0.308,57.0,119.0,0.479,0.47,34.0,37.0,0.919,12.0,19.0,31.0,25.0,24.0,2.0,6.0,44.0,271.0,
30,24621,2017.0,Anthony Tolliver,PF,31.0,SAC,65.0,1477.0,11.1,0.595,0.655,0.234,4.0,14.5,9.3,7.7,1.1,1.2,12.6,13.6,1.5,0.8,2.3,0.075,0.2,-0.8,-0.6,0.5,155.0,351.0,0.442,90.0,230.0,0.391,65.0,121.0,0.537,0.57,61.0,82.0,0.7440000000000001,51.0,188.0,239.0,77.0,33.0,20.0,56.0,109.0,461.0,"$5,290,000 "
31,24286,2017.0,Archie Goodwin,SG,22.0,TOT,15.0,214.0,18.7,0.6509999999999999,0.227,0.636,3.5,10.3,6.9,18.5,0.9,1.8,14.2,19.8,0.6,0.1,0.7,0.153,0.6,-1.7,-1.1,0.0,36.0,66.0,0.545,5.0,15.0,0.333,31.0,51.0,0.608,0.583,33.0,42.0,0.7859999999999999,7.0,21.0,28.0,24.0,4.0,5.0,14.0,8.0,110.0,
32,24512,2017.0,Arinze Onuaku,C,29.0,ORL,8.0,28.0,5.8,0.5,0.0,0.0,7.6,16.0,11.7,9.9,0.0,2.9,33.3,9.4,0.0,0.0,0.0,-0.005,-6.5,0.7,-5.9,0.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,1.0,2.0,3.0,4.0,
33,24135,2017.0,Aron Baynes,C,30.0,DET,75.0,1163.0,13.1,0.57,0.0,0.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,3.0,0.123,-2.9,1.1,-1.8,0.1,143.0,279.0,0.513,0.0,0.0,0.0,143.0,279.0,0.513,0.513,79.0,94.0,0.84,111.0,222.0,333.0,32.0,17.0,39.0,50.0,166.0,365.0,"$4,300,000 "
34,24101,2017.0,Arron Afflalo,SG,31.0,SAC,61.0,1580.0,9.0,0.5589999999999999,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2.0,-3.5,-0.6,185.0,420.0,0.44,62.0,151.0,0.411,123.0,269.0,0.457,0.514,83.0,93.0,0.892,9.0,116.0,125.0,78.0,21.0,7.0,42.0,104.0,515.0,"$5,328,652 "
35,24555,2017.0,Austin Rivers,SG,24.0,LAC,74.0,2054.0,11.4,0.545,0.409,0.261,1.1,7.5,4.4,15.0,1.2,0.4,12.4,20.3,1.2,1.3,2.5,0.059,-0.1,-1.5,-1.6,0.2,323.0,731.0,0.442,111.0,299.0,0.371,212.0,432.0,0.491,0.518,132.0,191.0,0.691,20.0,141.0,161.0,204.0,48.0,10.0,115.0,187.0,889.0,"$11,825,000 "
36,24160,2017.0,Avery Bradley,SG,26.0,BOS,55.0,1835.0,14.4,0.5479999999999999,0.35700000000000004,0.12,4.0,16.2,10.1,10.9,1.8,0.5,9.7,21.9,1.1,2.0,3.1,0.08,-0.2,-0.4,-0.5,0.7,359.0,775.0,0.463,108.0,277.0,0.39,251.0,498.0,0.504,0.5329999999999999,68.0,93.0,0.731,65.0,269.0,334.0,121.0,68.0,11.0,88.0,141.0,894.0,"$8,808,989 "
37,24622,2017.0,Axel Toupane,SF,24.0,TOT,4.0,47.0,6.2,0.611,0.444,0.0,0.0,2.3,1.1,0.0,1.0,1.7,0.0,8.5,0.0,0.0,0.1,0.061,-2.8,-1.0,-3.8,0.0,5.0,9.0,0.556,1.0,4.0,0.25,4.0,5.0,0.8,0.611,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,11.0,
38,24144,2017.0,Ben Bentil,PF,21.0,DAL,3.0,10.0,-17.6,0.0,0.333,0.0,0.0,24.4,11.6,0.0,0.0,0.0,25.0,18.9,-0.1,0.0,-0.1,-0.473,-22.4,-4.5,-26.9,-0.1,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,
39,24456,2017.0,Ben McLemore,SG,23.0,SAC,61.0,1176.0,9.8,0.5379999999999999,0.406,0.222,1.9,10.8,6.4,6.9,1.2,0.5,11.9,20.1,-0.1,0.5,0.4,0.015,-2.1,-2.7,-4.8,-0.8,180.0,419.0,0.43,65.0,170.0,0.382,115.0,249.0,0.462,0.507,70.0,93.0,0.753,19.0,111.0,130.0,51.0,29.0,6.0,62.0,108.0,495.0,"$5,200,000 "
40,24631,2017.0,Beno Udrih,PG,34.0,DET,39.0,560.0,16.1,0.535,0.162,0.173,1.1,10.3,5.6,35.4,1.2,0.0,14.9,19.7,0.8,0.5,1.3,0.111,-0.5,-2.1,-2.6,-0.1,92.0,197.0,0.467,11.0,32.0,0.344,81.0,165.0,0.491,0.495,32.0,34.0,0.941,6.0,51.0,57.0,131.0,13.0,0.0,37.0,29.0,227.0,
41,24147,2017.0,Bismack Biyombo,C,24.0,ORL,81.0,1793.0,12.2,0.546,0.0,0.69,9.3,25.6,17.2,6.0,0.7,4.1,17.7,13.2,0.8,2.1,2.9,0.077,-4.2,2.0,-2.2,-0.1,179.0,339.0,0.528,0.0,0.0,0.0,179.0,339.0,0.528,0.528,125.0,234.0,0.534,157.0,410.0,567.0,74.0,25.0,91.0,95.0,202.0,483.0,"$17,000,000 "
42,24302,2017.0,Blake Griffin,PF,27.0,LAC,61.0,2076.0,22.7,0.569,0.116,0.434,6.1,20.2,13.4,24.5,1.4,0.9,10.9,28.0,5.4,2.4,7.7,0.179,3.2,1.3,4.4,3.4,479.0,971.0,0.493,38.0,113.0,0.336,441.0,858.0,0.514,0.513,320.0,421.0,0.76,111.0,385.0,496.0,300.0,58.0,23.0,142.0,157.0,1316.0,"$29,512,900 "
43,24436,2017.0,Boban Marjanovic,C,28.0,DET,35.0,293.0,29.6,0.606,0.0,0.439,16.5,32.5,24.2,5.3,1.0,3.4,6.0,25.3,1.2,0.5,1.7,0.28,1.0,-0.9,0.1,0.2,72.0,132.0,0.545,0.0,0.0,0.0,72.0,132.0,0.545,0.545,47.0,58.0,0.81,46.0,84.0,130.0,9.0,6.0,12.0,10.0,25.0,191.0,"$5,881,260 "
44,24169,2017.0,Bobby Brown,PG,32.0,HOU,25.0,123.0,10.8,0.509,0.583,0.033,0.0,5.3,2.7,17.6,0.4,0.0,7.6,22.7,0.1,0.0,0.1,0.04,-1.5,-6.1,-7.6,-0.2,23.0,60.0,0.383,14.0,35.0,0.4,9.0,25.0,0.36,0.5,2.0,2.0,1.0,0.0,6.0,6.0,14.0,1.0,0.0,5.0,5.0,62.0,"$1,231,500 "
45,24539,2017.0,Bobby Portis,PF,21.0,CHI,64.0,1000.0,14.9,0.545,0.256,0.157,8.0,24.0,16.0,5.7,0.8,0.9,8.4,19.1,1.1,1.2,2.4,0.114,-1.6,-1.5,-3.1,-0.3,183.0,375.0,0.488,32.0,96.0,0.333,151.0,279.0,0.541,0.531,39.0,59.0,0.6609999999999999,75.0,221.0,296.0,35.0,16.0,11.0,37.0,94.0,437.0,"$1,516,320 "
46,24151,2017.0,Bojan Bogdanovic,SF,27.0,TOT,81.0,2083.0,13.5,0.585,0.464,0.28800000000000003,1.9,12.3,7.2,8.7,0.8,0.3,12.0,22.4,2.0,0.9,2.9,0.067,-0.1,-2.8,-2.8,-0.4,376.0,845.0,0.445,144.0,392.0,0.3670000000000001,232.0,453.0,0.512,0.53,217.0,243.0,0.893,37.0,240.0,277.0,111.0,34.0,7.0,130.0,146.0,1113.0,"$10,500,000 "
47,24228,2017.0,Boris Diaw,PF,34.0,UTA,73.0,1283.0,9.0,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,1.1,0.041,-2.7,-0.2,-2.9,-0.3,146.0,327.0,0.446,20.0,81.0,0.247,126.0,246.0,0.512,0.477,26.0,35.0,0.743,46.0,112.0,158.0,170.0,18.0,9.0,87.0,83.0,338.0,
48,24137,2017.0,Bradley Beal,SG,23.0,WAS,77.0,2684.0,20.1,0.604,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,6.8,1.6,8.5,0.151,4.5,-2.4,2.2,2.8,637.0,1322.0,0.482,223.0,552.0,0.404,414.0,770.0,0.5379999999999999,0.5660000000000001,282.0,342.0,0.825,53.0,186.0,239.0,267.0,83.0,21.0,157.0,169.0,1779.0,"$23,775,506 "
49,24680,2017.0,Brandan Wright,PF,29.0,MEM,28.0,447.0,18.5,0.628,0.006999999999999999,0.259,7.7,12.4,10.0,6.0,1.3,4.3,6.2,16.3,1.1,0.5,1.6,0.177,0.0,1.3,1.3,0.4,83.0,135.0,0.615,0.0,1.0,0.0,83.0,134.0,0.619,0.615,23.0,35.0,0.657,31.0,47.0,78.0,15.0,11.0,20.0,10.0,42.0,189.0,"$5,955,760 "
50,24132,2017.0,Brandon Bass,PF,31.0,LAC,52.0,577.0,19.7,0.65,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,1.6,0.6,2.2,0.18600000000000005,0.1,-0.8,-0.7,0.2,107.0,186.0,0.575,1.0,3.0,0.333,106.0,183.0,0.579,0.578,77.0,88.0,0.875,43.0,86.0,129.0,21.0,14.0,11.0,29.0,45.0,292.0,
51,24359,2017.0,Brandon Ingram,SF,19.0,LAL,79.0,2279.0,8.5,0.474,0.273,0.312,2.8,12.8,7.6,10.5,1.1,1.3,12.9,16.8,-1.0,0.7,-0.3,-0.006999999999999999,-3.1,-0.7,-3.8,-1.1,276.0,686.0,0.402,55.0,187.0,0.294,221.0,499.0,0.443,0.442,133.0,214.0,0.621,60.0,257.0,317.0,166.0,50.0,36.0,116.0,158.0,740.0,"$5,519,400 "
52,24369,2017.0,Brandon Jennings,PG,27.0,TOT,81.0,1802.0,12.1,0.479,0.471,0.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,0.7,1.0,1.7,0.046,-0.8,-2.2,-3.0,-0.4,192.0,535.0,0.359,79.0,252.0,0.313,113.0,283.0,0.399,0.433,114.0,152.0,0.75,29.0,167.0,196.0,395.0,70.0,5.0,128.0,116.0,577.0,"$380,830 "
53,24396,2017.0,Brandon Knight,SG,25.0,PHO,54.0,1140.0,12.3,0.502,0.265,0.293,2.3,9.1,5.6,17.8,1.1,0.4,13.1,25.0,0.1,0.2,0.3,0.013,-1.5,-3.0,-4.5,-0.7,209.0,525.0,0.398,45.0,139.0,0.324,164.0,386.0,0.425,0.441,132.0,154.0,0.857,25.0,93.0,118.0,130.0,27.0,5.0,89.0,87.0,595.0,"$13,618,750 "
54,24569,2017.0,Brandon Rush,SG,31.0,MIN,47.0,1030.0,6.6,0.505,0.61,0.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,0.1,0.3,0.4,0.019,-2.0,-0.1,-2.1,0.0,70.0,187.0,0.374,44.0,114.0,0.386,26.0,73.0,0.35600000000000004,0.4920000000000001,13.0,18.0,0.722,16.0,83.0,99.0,45.0,22.0,23.0,28.0,42.0,197.0,"$119,601 "
55,24557,2017.0,Brian Roberts,PG,31.0,CHO,41.0,416.0,9.8,0.51,0.361,0.32,1.3,9.0,5.2,18.7,1.1,0.2,15.7,17.9,0.0,0.3,0.2,0.028,-3.3,-2.6,-5.9,-0.4,46.0,122.0,0.377,17.0,44.0,0.386,29.0,78.0,0.3720000000000001,0.447,33.0,39.0,0.846,5.0,34.0,39.0,52.0,9.0,1.0,26.0,18.0,142.0,
56,24650,2017.0,Briante Weber,PG,24.0,TOT,20.0,205.0,11.0,0.462,0.16699999999999998,0.267,4.3,9.6,7.0,15.0,2.9,0.4,10.7,16.3,0.0,0.2,0.3,0.059,-3.2,0.0,-3.2,-0.1,25.0,60.0,0.417,1.0,10.0,0.1,24.0,50.0,0.48,0.425,11.0,16.0,0.688,8.0,18.0,26.0,21.0,12.0,1.0,8.0,16.0,62.0,"$160,378 "
57,24374,2017.0,Brice Johnson,PF,22.0,LAC,3.0,9.0,17.2,0.28600000000000003,0.0,0.0,12.8,24.2,18.6,18.6,11.1,9.1,12.5,39.8,-0.1,0.0,0.0,-0.16399999999999998,-10.7,12.0,1.3,0.0,2.0,7.0,0.28600000000000003,0.0,0.0,0.0,2.0,7.0,0.28600000000000003,0.28600000000000003,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,4.0,"$1,331,160 "
58,24426,2017.0,Brook Lopez,C,28.0,BRK,75.0,2222.0,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,1.9,-0.4,1.5,2.0,555.0,1172.0,0.474,134.0,387.0,0.34600000000000003,421.0,785.0,0.536,0.531,295.0,364.0,0.81,121.0,282.0,403.0,176.0,38.0,124.0,184.0,192.0,1539.0,"$22,642,350 "
59,24176,2017.0,Bruno Caboclo,SF,21.0,TOR,9.0,40.0,14.6,0.438,0.375,0.0,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,0.0,0.1,0.1,0.083,0.1,0.7,0.8,0.0,6.0,16.0,0.375,2.0,6.0,0.333,4.0,10.0,0.4,0.438,0.0,0.0,0.0,5.0,5.0,10.0,4.0,2.0,1.0,2.0,4.0,14.0,"$2,451,224 "
60,24263,2017.0,Bryn Forbes,SG,23.0,SAS,36.0,285.0,5.9,0.462,0.535,0.061,0.8,8.2,4.6,11.7,0.2,0.0,9.8,17.9,-0.2,0.2,0.1,0.014,-3.2,-2.8,-6.0,-0.3,36.0,99.0,0.364,17.0,53.0,0.321,19.0,46.0,0.413,0.449,5.0,6.0,0.833,2.0,21.0,23.0,23.0,1.0,0.0,11.0,20.0,94.0,"$1,312,611 "
